"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed","year_before","Revenue.Before","Population.Before","year_after","Revenue.After","Population.After"
"SAN BENITO",2018,95824947,57088,1679,1314,NA,2017,79747356,56854,2019,106119007,62296
"SAN BERNARDINO",2014,3517791026,2085669,1687,2143,0,2013,3300520586,2076274,2015,3639592464,2104291
"SAN BERNARDINO",2015,3639592464,2104291,1730,4250,68,2014,3517791026,2085669,2016,3639228514,2139570
"SAN BERNARDINO",2015,3639592464,2104291,1730,31359,NA,2014,3517791026,2085669,2016,3639228514,2139570
"SAN BERNARDINO",2016,3639228514,2139570,1701,36274,321,2015,3639592464,2104291,2017,4141319948,2160256
"SAN BERNARDINO",2016,3639228514,2139570,1701,8110,NA,2015,3639592464,2104291,2017,4141319948,2160256
"SAN BERNARDINO",2017,4141319948,2160256,1917,1503,NA,2016,3639228514,2139570,2018,4394560180,2174938
"SAN BERNARDINO",2018,4394560180,2174938,2021,1350,NA,2017,4141319948,2160256,2019,5123350918,2192203
"SAN DIEGO",2013,3726020023,3150178,1183,1271,NA,2012,3636755644,3143429,2014,4051682174,3194362
"SAN DIEGO",2013,3726020023,3150178,1183,2781,NA,2012,3636755644,3143429,2014,4051682174,3194362
"SAN DIEGO",2013,3726020023,3150178,1183,2236,NA,2012,3636755644,3143429,2014,4051682174,3194362
"SAN DIEGO",2013,3726020023,3150178,1183,7055,149,2012,3636755644,3143429,2014,4051682174,3194362
"SAN DIEGO",2014,4051682174,3194362,1268,14416,NA,2013,3726020023,3150178,2015,3961432413,3227496
"SAN DIEGO",2014,4051682174,3194362,1268,5367,NA,2013,3726020023,3150178,2015,3961432413,3227496
"SAN DIEGO",2014,4051682174,3194362,1268,1995,40,2013,3726020023,3150178,2015,3961432413,3227496
"SAN DIEGO",2014,4051682174,3194362,1268,1457,NA,2013,3726020023,3150178,2015,3961432413,3227496
"SAN DIEGO",2014,4051682174,3194362,1268,1548,NA,2013,3726020023,3150178,2015,3961432413,3227496
"SAN DIEGO",2015,3961432413,3227496,1227,1850,NA,2014,4051682174,3194362,2016,4055061156,3288612
"SAN DIEGO",2016,4055061156,3288612,1233,7609,16,2015,3961432413,3227496,2017,4389789349,3316192
"SAN DIEGO",2016,4055061156,3288612,1233,1245,NA,2015,3961432413,3227496,2017,4389789349,3316192
"SAN DIEGO",2017,4389789349,3316192,1324,2056,NA,2016,4055061156,3288612,2018,4872062011,3337456
"SAN DIEGO",2017,4389789349,3316192,1324,1088,NA,2016,4055061156,3288612,2018,4872062011,3337456
"SAN DIEGO",2017,4389789349,3316192,1324,1000,NA,2016,4055061156,3288612,2018,4872062011,3337456
"SAN DIEGO",2017,4389789349,3316192,1324,4100,157,2016,4055061156,3288612,2018,4872062011,3337456
"SAN JOAQUIN",2018,1701785835,758744,2243,12300,1,2017,1439251199,746868,2019,1747994295,770385
"SAN LUIS OBISPO",2015,534080222,274293,1947,1791,23,2014,516562520,272357,2016,536058993,277977
